target_title,target_id,target_type,score,status,rewatches,episodes,text
Shingeki no Kyojin Season 2,25777,Anime,0,completed,0,12,
Shingeki no Kyojin: Lost Girls,36106,Anime,0,completed,0,3,
K-On!!,7791,Anime,0,completed,0,26,
Clannad: After Story,4181,Anime,0,completed,0,24,
Clannad Movie,1723,Anime,0,completed,0,1,
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",4059,Anime,0,completed,0,1,
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",6351,Anime,0,completed,0,1,
Amnesia,15085,Anime,0,planned,0,0,
Gunnm,1016,Anime,0,planned,0,0,
Ookami to Koushinryou,2966,Anime,0,planned,0,0,
Ookami to Koushinryou II,5341,Anime,0,planned,0,0,
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,6007,Anime,0,planned,0,0,
Shingeki no Kyojin: Kuinaki Sentaku,25781,Anime,0,planned,0,0,
Shingeki no Kyojin Season 3,35760,Anime,0,planned,0,0,
Shingeki no Kyojin OVA,18397,Anime,0,planned,0,0,
Shingeki no Kyotou,35122,Anime,0,planned,0,0,
Gungrave,267,Anime,0,planned,0,0,
Boku dake ga Inai Machi,31043,Anime,0,planned,0,0,
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,4565,Anime,0,planned,0,0,
Toki wo Kakeru Shoujo,2236,Anime,0,planned,0,0,
Detroit Metal City,3702,Anime,0,completed,0,12,
Evangelion: 1.0 You Are (Not) Alone,2759,Anime,0,planned,0,0,
Evangelion: 2.0 You Can (Not) Advance,3784,Anime,0,planned,0,0,
Evangelion: 3.0 You Can (Not) Redo,3785,Anime,0,planned,0,0,
Neon Genesis Evangelion,30,Anime,0,planned,0,0,
Neon Genesis Evangelion: The End of Evangelion,32,Anime,0,planned,0,0,
Perfect Blue,437,Anime,0,planned,0,0,
Shisha no Teikoku,28625,Anime,0,planned,0,0,
Ouran Koukou Host Club,853,Anime,0,completed,0,26,
Bishoujo Senshi Sailor Moon,530,Anime,0,completed,0,46,
Bishoujo Senshi Sailor Moon Memorial,8756,Anime,0,completed,0,5,
Bishoujo Senshi Sailor Moon Crystal,14751,Anime,0,completed,0,26,
Bishoujo Senshi Sailor Moon Crystal Season III,31733,Anime,0,completed,0,13,
Bishoujo Senshi Sailor Moon: Sailor Stars,996,Anime,0,completed,0,34,
Bishoujo Senshi Sailor Moon SuperS,1239,Anime,0,completed,0,39,
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,1240,Anime,0,completed,0,1,
Bishoujo Senshi Sailor Moon SuperS Specials,3076,Anime,0,completed,0,3,
Bishoujo Senshi Sailor Moon R: The Movie,531,Anime,0,completed,0,1,
Bishoujo Senshi Sailor Moon R,740,Anime,0,completed,0,43,
Bishoujo Senshi Sailor Moon S,532,Anime,0,completed,0,38,
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,997,Anime,0,completed,0,1,
Hoshi wo Ou Kodomo,9760,Anime,6,completed,0,1,
Megalo Box,36563,Anime,0,planned,0,0,
Suzumiya Haruhi no Yuuutsu,849,Anime,0,planned,0,0,
Stranger: Mukou Hadan,2418,Anime,0,planned,0,0,
Kokkoku,36548,Anime,0,planned,0,0,
Mirai no Mirai,36936,Anime,0,planned,0,0,
Soredemo Sekai wa Utsukushii,22101,Anime,0,planned,0,0,
Mob Psycho 100,32182,Anime,0,planned,0,0,
Mob Psycho 100 II,37510,Anime,0,planned,0,0,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,28121,Anime,0,planned,0,0,
Aa! Megami-sama! (TV),50,Anime,0,planned,0,0,
Aa! Megami-sama! Movie,304,Anime,0,planned,0,0,
JoJo no Kimyou na Bouken (TV),14719,Anime,0,planned,0,0,
JoJo no Kimyou na Bouken,666,Anime,0,planned,0,0,
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,31933,Anime,0,planned,0,0,
JoJo no Kimyou na Bouken: Phantom Blood,3603,Anime,0,planned,0,0,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,20899,Anime,0,planned,0,0,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,26055,Anime,0,planned,0,0,
